Date,Time,vRMS(mm/s),aRMS(g),aPeak(g),Temperature(℃)
2024-09-12,16:32:43,154,0.99,7.83,31
2024-09-12,16:32:43,150,0.97,7.83,31
2024-09-12,16:32:43,150,0.97,7.83,31
2024-09-12,16:32:43,150,0.97,7.83,31
2024-09-12,16:32:43,148,0.95,0.23,31
2024-09-12,16:32:43,148,0.95,0.23,31
2024-09-12,16:32:43,145,0.93,0.23,31
2024-09-12,16:32:44,145,0.93,0.23,31
2024-09-12,16:32:44,147,0.99,0.23,31
2024-09-12,16:32:44,147,0.99,0.23,31
2024-09-12,16:32:44,161,1.03,0.23,31
2024-09-12,16:32:44,161,1.03,0.23,31
2024-09-12,16:32:44,165,1.04,0.23,31
2024-09-12,16:32:44,164,1.02,0.23,31
2024-09-12,16:32:44,164,1.02,0.23,31
2024-09-12,16:32:44,161,1.01,0.23,31
2024-09-12,16:32:44,161,1.01,0.23,31
2024-09-12,16:32:44,159,0.99,0.23,31
2024-09-12,16:32:44,159,0.99,0.23,31
2024-09-12,16:32:44,159,0.99,0.23,31
2024-09-12,16:32:44,159,0.99,0.23,31
2024-09-12,16:32:44,156,0.97,0.23,31
2024-09-12,16:32:44,156,0.97,0.23,31
2024-09-12,16:32:44,156,0.97,0.23,31
2024-09-12,16:32:44,153,0.95,0.23,31
2024-09-12,16:32:44,153,0.95,0.23,31
2024-09-12,16:32:44,150,0.93,0.23,31
2024-09-12,16:32:44,150,0.93,0.23,31
2024-09-12,16:32:44,147,0.91,0.23,31
2024-09-12,16:32:44,147,0.91,0.23,31
2024-09-12,16:32:44,145,0.89,3.88,31
2024-09-12,16:32:44,145,0.89,3.88,31
2024-09-12,16:32:44,142,0.87,3.88,31
2024-09-12,16:32:45,142,0.87,3.88,31
2024-09-12,16:32:45,140,0.86,3.88,31
2024-09-12,16:32:45,140,0.86,3.88,31
2024-09-12,16:32:45,138,0.84,3.88,31
2024-09-12,16:32:45,138,0.84,3.88,31
2024-09-12,16:32:45,135,0.82,3.88,31
2024-09-12,16:32:45,135,0.82,3.88,31
2024-09-12,16:32:45,133,0.81,3.88,31
2024-09-12,16:32:45,133,0.81,3.88,31
2024-09-12,16:32:45,133,0.81,3.88,31
2024-09-12,16:32:45,133,0.81,3.88,31
2024-09-12,16:32:45,131,0.79,3.88,31
2024-09-12,16:32:45,131,0.79,3.88,31
2024-09-12,16:32:45,128,0.78,3.88,31
2024-09-12,16:32:45,126,0.76,3.88,31
2024-09-12,16:32:45,126,0.76,3.88,31
2024-09-12,16:32:45,123,0.74,3.88,31
2024-09-12,16:32:45,123,0.74,3.88,31
2024-09-12,16:32:45,121,0.73,3.88,31
2024-09-12,16:32:45,121,0.73,3.88,31
2024-09-12,16:32:45,121,0.73,3.88,31
2024-09-12,16:32:45,119,0.72,3.88,31
2024-09-12,16:32:45,119,0.72,3.88,31
2024-09-12,16:32:45,135,0.84,3.88,31
2024-09-12,16:32:45,149,0.9,3.88,31
2024-09-12,16:32:45,149,0.9,3.88,31
2024-09-12,16:32:46,153,0.91,3.88,31
2024-09-12,16:32:46,153,0.91,3.88,31
2024-09-12,16:32:46,153,0.91,3.88,31
2024-09-12,16:32:46,153,0.91,3.88,31
2024-09-12,16:32:46,153,0.91,3.88,31
2024-09-12,16:32:46,153,0.91,3.88,31
2024-09-12,16:32:46,150,0.89,3.88,31
2024-09-12,16:32:46,150,0.89,3.88,31
2024-09-12,16:32:46,148,0.87,3.88,31
2024-09-12,16:32:46,145,0.85,3.88,31
2024-09-12,16:32:46,145,0.85,3.88,31
2024-09-12,16:32:46,145,0.85,3.88,31
2024-09-12,16:32:46,142,0.84,3.88,31
2024-09-12,16:32:46,142,0.84,3.88,31
2024-09-12,16:32:46,142,0.84,3.88,31
2024-09-12,16:32:46,140,0.82,3.88,31
2024-09-12,16:32:46,140,0.82,3.88,31
2024-09-12,16:32:46,137,0.8,3.88,31
2024-09-12,16:32:46,135,0.79,3.88,31
2024-09-12,16:32:46,135,0.79,3.88,31
2024-09-12,16:32:46,135,0.79,3.88,31
2024-09-12,16:32:46,133,0.77,3.88,31
2024-09-12,16:32:46,133,0.77,3.88,31
2024-09-12,16:32:46,130,0.76,3.88,31
2024-09-12,16:32:46,130,0.76,3.88,31
2024-09-12,16:32:46,128,0.75,3.88,31
2024-09-12,16:32:46,128,0.75,3.88,31
2024-09-12,16:32:47,128,0.75,3.88,31
2024-09-12,16:32:47,128,0.75,3.88,31
2024-09-12,16:32:47,126,0.73,1.5,31
2024-09-12,16:32:47,126,0.73,1.5,31
2024-09-12,16:32:47,124,0.72,1.5,31
2024-09-12,16:32:47,124,0.72,1.5,31
2024-09-12,16:32:47,124,0.72,1.5,31
2024-09-12,16:32:47,133,0.8,1.5,31
2024-09-12,16:32:47,140,0.81,1.5,31
2024-09-12,16:32:47,143,0.82,1.5,31
2024-09-12,16:32:47,143,0.82,1.5,31
2024-09-12,16:32:47,143,0.82,1.5,31
2024-09-12,16:32:47,142,0.81,1.5,31
2024-09-12,16:32:47,142,0.81,1.5,31
2024-09-12,16:32:47,140,0.79,1.5,31
2024-09-12,16:32:47,140,0.79,1.5,31
2024-09-12,16:32:47,138,0.78,1.5,31
2024-09-12,16:32:47,138,0.78,1.5,31
2024-09-12,16:32:47,135,0.76,1.5,31
2024-09-12,16:32:47,135,0.76,1.5,31
2024-09-12,16:32:47,135,0.76,1.5,31
2024-09-12,16:32:47,133,0.75,1.5,31
2024-09-12,16:32:47,133,0.75,1.5,31
2024-09-12,16:32:47,133,0.75,1.5,31
2024-09-12,16:32:47,131,0.74,1.5,31
2024-09-12,16:32:47,131,0.74,1.5,31
2024-09-12,16:32:47,128,0.72,1.5,31
2024-09-12,16:32:48,128,0.72,1.5,31
2024-09-12,16:32:48,128,0.72,1.5,31
2024-09-12,16:32:48,126,0.7,2.86,31
2024-09-12,16:32:48,124,0.69,2.86,31
2024-09-12,16:32:48,124,0.69,2.86,31
2024-09-12,16:32:48,122,0.69,2.86,31
2024-09-12,16:32:48,122,0.69,2.86,31
2024-09-12,16:32:48,124,0.69,2.86,31
2024-09-12,16:32:48,124,0.69,2.86,31
2024-09-12,16:32:48,126,0.69,2.86,31
2024-09-12,16:32:48,126,0.69,2.86,31
2024-09-12,16:32:48,129,0.7,2.86,31
2024-09-12,16:32:48,129,0.7,2.86,31
2024-09-12,16:32:48,128,0.69,2.86,31
2024-09-12,16:32:48,128,0.69,2.86,31
2024-09-12,16:32:48,126,0.68,2.86,31
2024-09-12,16:32:48,126,0.68,2.86,31
2024-09-12,16:32:48,126,0.68,2.86,31
2024-09-12,16:32:48,124,0.67,2.86,31
2024-09-12,16:32:48,124,0.67,2.86,31
2024-09-12,16:32:48,124,0.67,2.86,31
2024-09-12,16:32:48,121,0.65,2.86,31
2024-09-12,16:32:48,121,0.65,2.86,31
2024-09-12,16:32:48,119,0.64,2.86,31
2024-09-12,16:32:48,119,0.64,2.86,31
2024-09-12,16:32:48,118,0.64,2.86,31
2024-09-12,16:32:49,118,0.64,2.86,31
2024-09-12,16:32:49,122,0.66,2.86,31
2024-09-12,16:32:49,123,0.65,1.62,31
2024-09-12,16:32:49,123,0.65,1.62,31
2024-09-12,16:32:49,124,0.65,1.62,31
2024-09-12,16:32:49,124,0.65,1.62,31
2024-09-12,16:32:49,123,0.64,1.62,31
2024-09-12,16:32:49,123,0.64,1.62,31
2024-09-12,16:32:49,121,0.63,1.62,31
2024-09-12,16:32:49,121,0.63,1.62,31
2024-09-12,16:32:49,119,0.62,1.62,31
2024-09-12,16:32:49,119,0.62,1.62,31
2024-09-12,16:32:49,119,0.62,1.62,31
2024-09-12,16:32:49,119,0.62,1.62,31
2024-09-12,16:32:49,118,0.62,1.62,31
2024-09-12,16:32:49,118,0.62,1.62,31
2024-09-12,16:32:49,123,0.66,1.62,31
2024-09-12,16:32:49,123,0.66,1.62,31
2024-09-12,16:32:49,125,0.67,1.62,31
2024-09-12,16:32:49,125,0.67,1.62,31
2024-09-12,16:32:49,123,0.66,1.62,31
2024-09-12,16:32:49,123,0.66,1.62,31
2024-09-12,16:32:49,121,0.65,1.62,31
2024-09-12,16:32:49,119,0.63,1.62,31
2024-09-12,16:32:49,119,0.63,1.62,31
2024-09-12,16:32:50,118,0.63,1.62,31
2024-09-12,16:32:50,118,0.63,1.62,31
2024-09-12,16:32:50,118,0.63,1.62,31
2024-09-12,16:32:50,118,0.63,1.62,31
2024-09-12,16:32:50,118,0.63,3.06,31
2024-09-12,16:32:50,119,0.62,3.06,31
2024-09-12,16:32:50,119,0.62,3.06,31
2024-09-12,16:32:50,119,0.62,3.06,31
2024-09-12,16:32:50,118,0.61,3.06,31
2024-09-12,16:32:50,118,0.61,3.06,31
2024-09-12,16:32:50,118,0.61,3.06,31
2024-09-12,16:32:50,116,0.6,3.06,31
2024-09-12,16:32:50,116,0.6,3.06,31
2024-09-12,16:32:50,114,0.59,3.06,31
2024-09-12,16:32:50,114,0.59,3.06,31
2024-09-12,16:32:50,114,0.59,3.06,31
2024-09-12,16:32:50,116,0.61,3.06,31
2024-09-12,16:32:50,116,0.61,3.06,31
2024-09-12,16:32:50,116,0.6,3.06,31
2024-09-12,16:32:50,114,0.6,3.06,31
2024-09-12,16:32:50,114,0.6,3.06,31
2024-09-12,16:32:50,114,0.6,3.06,31
2024-09-12,16:32:50,115,0.6,3.06,31
2024-09-12,16:32:50,115,0.6,3.06,31
2024-09-12,16:32:50,114,0.59,3.06,31
2024-09-12,16:32:50,114,0.59,3.06,31
2024-09-12,16:32:51,116,0.6,3.06,31
2024-09-12,16:32:51,115,0.6,3.06,31
2024-09-12,16:32:51,115,0.6,3.06,31
2024-09-12,16:32:51,115,0.6,3.06,31
2024-09-12,16:32:51,115,0.6,3.06,31
2024-09-12,16:32:51,114,0.6,1.53,31
2024-09-12,16:32:51,114,0.6,1.53,31
2024-09-12,16:32:51,116,0.66,1.53,31
2024-09-12,16:32:51,116,0.66,1.53,31
2024-09-12,16:32:51,116,0.67,1.53,31
2024-09-12,16:32:51,116,0.66,1.53,31
2024-09-12,16:32:51,116,0.66,1.53,31
2024-09-12,16:32:51,116,0.66,1.53,31
2024-09-12,16:32:51,114,0.65,1.53,31
2024-09-12,16:32:51,112,0.64,1.53,31
2024-09-12,16:32:51,112,0.64,1.53,31
2024-09-12,16:32:51,112,0.64,1.53,31
2024-09-12,16:32:51,111,0.63,1.53,31
2024-09-12,16:32:51,111,0.63,1.53,31
2024-09-12,16:32:51,109,0.62,1.53,31
2024-09-12,16:32:51,109,0.62,1.53,31
2024-09-12,16:32:51,107,0.6,1.53,31
2024-09-12,16:32:51,107,0.6,1.53,31
2024-09-12,16:32:51,105,0.59,1.53,31
2024-09-12,16:32:51,105,0.59,1.53,31
2024-09-12,16:32:51,105,0.59,1.53,31
2024-09-12,16:32:51,105,0.59,1.53,31
2024-09-12,16:32:52,105,0.59,1.53,31
2024-09-12,16:32:52,103,0.58,1.53,31
2024-09-12,16:43:01,0,0,0,31
2024-09-12,16:43:01,0,0,0,31
2024-09-12,16:43:01,0,0,0,31
2024-09-12,16:43:01,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:02,0,0,0,31
2024-09-12,16:43:03,0,0,0,31
2024-09-12,16:43:03,0,0,0,31
2024-09-12,16:43:03,0,0,0,31
2024-09-12,16:43:03,0,0,0,31
2024-09-12,16:43:03,0,0.01,0,31
2024-09-12,16:43:03,0,0.01,0,31
2024-09-12,16:43:03,1,0.01,0,31
2024-09-12,16:43:03,6,0.07,0,31
2024-09-12,16:43:03,6,0.07,0,31
2024-09-12,16:43:03,8,0.08,0,31
2024-09-12,16:43:03,8,0.08,0,31
2024-09-12,16:43:03,8,0.08,0,31
2024-09-12,16:43:03,9,0.08,0,31
2024-09-12,16:43:03,9,0.08,0,31
2024-09-12,16:43:03,9,0.08,0,31
2024-09-12,16:43:03,10,0.08,0,31
2024-09-12,16:43:03,10,0.08,0,31
2024-09-12,16:43:03,10,0.08,0,31
2024-09-12,16:43:03,10,0.08,1.3,31
2024-09-12,16:43:03,10,0.08,1.3,31
2024-09-12,16:43:03,10,0.08,1.3,31
2024-09-12,16:43:03,10,0.08,1.3,31
2024-09-12,16:43:03,10,0.08,1.3,31
2024-09-12,16:43:03,10,0.08,1.3,31
2024-09-12,16:43:03,10,0.08,1.3,31
2024-09-12,16:43:03,10,0.08,1.3,31
2024-09-12,16:43:03,10,0.08,1.3,31
2024-09-12,16:43:03,10,0.08,1.3,31
2024-09-12,16:43:04,10,0.08,1.3,31
2024-09-12,16:43:04,10,0.08,1.3,31
2024-09-12,16:43:04,10,0.08,1.3,31
2024-09-12,16:43:04,11,0.09,1.3,31
2024-09-12,16:43:04,11,0.09,1.3,31
